playlistId,name,owner_name,playlistUrl,followers_in_json,totalTracks_in_json,tracks_array_len,ownerId_in_json
5BZuLyrj5S2XwDJ1PrFHfu, funeral songs SHORT LIST,shawn heathcote,https://open.spotify.com/playlist/5BZuLyrj5S2XwDJ1PrFHfu,,308,308,312jbeappptgua7y45bdy6li2ihq
4loMkCjwF54nrvTTQ54AeG,2026 March (Laughing At Funerals),Chris,https://open.spotify.com/playlist/4loMkCjwF54nrvTTQ54AeG,,97,97,sd0dzvq85kzgbkmojmab6b58f
36uqt65mnYKKUICFAlHMQ5,Adams funeral songs,adam,https://open.spotify.com/playlist/36uqt65mnYKKUICFAlHMQ5,,87,87,7lpby4nl075fl1vrafunp4ece
0sRv97KOlul3R6zG1hvk2w,After the Burial,zachg,https://open.spotify.com/playlist/0sRv97KOlul3R6zG1hvk2w,,55,55,n3rlkj1o6t22eokr5p5ama30o
23S6Ldh5pPMxGob6NhvN6w,At my funeral,Sebastian,https://open.spotify.com/playlist/23S6Ldh5pPMxGob6NhvN6w,,354,354,31hcfx2w5hxsygdwsiu3wkijnuye
4etUa16q1skc74eqga4YG3,FUNERAL PLAYLIST ,Shithead,https://open.spotify.com/playlist/4etUa16q1skc74eqga4YG3,,40,40,deepez007
0uEXhUPAWyETYo8tfKvddX,FUNERAL ZONE ☠️⚰️,Nicolas Leira,https://open.spotify.com/playlist/0uEXhUPAWyETYo8tfKvddX,,2455,1000,31gfswwkbrr7ts3zkihprpq346eu
1nWmox5z6EmczZ3CTpmHT8,For After the Funeral,Goop,https://open.spotify.com/playlist/1nWmox5z6EmczZ3CTpmHT8,,439,439,theoriginalmg
5tade2Eda0E9flN0EpvwWx,Funebri,laurent,https://open.spotify.com/playlist/5tade2Eda0E9flN0EpvwWx,,42,42,31gidgk35z6fl3ihr7pqlx7chyum
64V8irX6rhtO9MU7w4XhHd,Funeral,Americanpie,https://open.spotify.com/playlist/64V8irX6rhtO9MU7w4XhHd,,308,308,0g77gmb96lnsogquwgzh9g923
7tReqjvIAaXMclKXe7ImzK,Funeral ,ernest1195,https://open.spotify.com/playlist/7tReqjvIAaXMclKXe7ImzK,,60,60,ernest1195
0C5QNk9C6eP8hA88mP0IEq,Funeral ,Shannon Robinson,https://open.spotify.com/playlist/0C5QNk9C6eP8hA88mP0IEq,,37,37,22rlnmfbvevfum7tkv3lmqcka
7y3ZzwApVP4tVlUYQNYNGL,Funeral  playlist ,Alex,https://open.spotify.com/playlist/7y3ZzwApVP4tVlUYQNYNGL,,83,83,31scl4qcuywpsvb5ut67yo4acdoy
7KGKxia4ee7ewccq9X8WQn,Funeral Playlist,Mark Saari,https://open.spotify.com/playlist/7KGKxia4ee7ewccq9X8WQn,,63,63,solidpar
6JTHVCLtUSVUwxqoFXKqC3,Funeral Playlist,spanky01212,https://open.spotify.com/playlist/6JTHVCLtUSVUwxqoFXKqC3,,1786,1000,spanky01212
55SJFLw8DcyHfJ6H6pg8V8,Funeral Playlist,Jusinojh,https://open.spotify.com/playlist/55SJFLw8DcyHfJ6H6pg8V8,,173,172,jh7r3crjhyx0ew3b6ezl5ykp5
0yc9HQyTck1nbTCAVNEUDk,Funeral Playlist ,Kassy,https://open.spotify.com/playlist/0yc9HQyTck1nbTCAVNEUDk,,244,244,9qqr6b52ba42foh98xaj3lmk1
3TEiA3E22nqXtyYCpUrSSD,Funeral Song's,Joseph l kinnaird,https://open.spotify.com/playlist/3TEiA3E22nqXtyYCpUrSSD,,21,21,ulf4cecnvs9xqi4ns3dq0599d
7oZR9RTJVyMlkhkYscvRGG,Funeral Songs,Lily,https://open.spotify.com/playlist/7oZR9RTJVyMlkhkYscvRGG,,357,357,31ci3xb4nv2hjq33yzqwrwyyntii
2i3MHXimIseO4hSFEncZJX,Funeral playlist ,Iker.Bustamante,https://open.spotify.com/playlist/2i3MHXimIseO4hSFEncZJX,,48,48,bustamante913
4ze1m5aqB5u53BfFvSVabx,Funeral playlist ,Lïvï,https://open.spotify.com/playlist/4ze1m5aqB5u53BfFvSVabx,,59,59,316yewkqndafuyppiotxiss6myk4
3EILj7rgApLVmelGK2bwJf,Funeral songs,andy/kate lovestuff,https://open.spotify.com/playlist/3EILj7rgApLVmelGK2bwJf,,238,238,ile7s3zs108ss0rdxsmjfqi7k
2GApfnU5znCqb6nHFi5K1A,Funeral songs ,Enigma_SCD,https://open.spotify.com/playlist/2GApfnU5znCqb6nHFi5K1A,,74,74,315g4tbpd5qzox7shjr6bhgay64a
2O9X18LUpZf88imvQpI8Dv,Funeral songs 4 G,Adamgurrola,https://open.spotify.com/playlist/2O9X18LUpZf88imvQpI8Dv,,28,28,31m2zzj7ztx7kn53yerropb5he3m
7BYIeghdfbzaZRsAhNi3zL,Funeral sounds in case ,CLAYS,https://open.spotify.com/playlist/7BYIeghdfbzaZRsAhNi3zL,,11,11,314ncqgv4zbt4qhdlnikvvq7yvu4
